f_name,a_name,title,lyrics
angry_all/Lessons In What Not to Become.mp3,Jello Biafra With The Melvins,Lessons In What Not to Become,"When I was a kid my daddy got mad And slammed me against the wall Sometimes I got shook Sometimes I got hit For losin' my temper at all Didn't dare say, Look at you, man Blowin' your stack like that I hadn't been taught the word hypocrite yet But I already knew what it meant  This is a lesson in what not to become Lessons in what not to be come Sometimes that means me Can't please everyone Tryin' to live by a code I can stick to I'm a fuck up just like you But it's better than not trying at all.  Early on I knew To learn from the mistakes Of people I most admire Crazy-ass times Wish I was that wild But the drugs snuffed out the fire All that talent fried and blackened Senile at 25 I'll never be as dope as you But at least I'm still alive  Another lesson in what not to become Lessons in what not to become For some mouths that's me Can't please everyone Tryin' to live by a code I can stick to Sometimes it's as easy as Not lettin' things happen to you  Yeh, your mom and I Had such a great time when we were your age Makin' love, gettin' high Wild in the streets almost every day But now that you're that age Just Say NoR But take your Ritalin If you still turn out wrong It's all your music's fault  Breaks my heart to see When someone born to lead Gets so paranoid they're crazy Agree with all I say Or you're the enemy &amp; there ain't no in between Drown like Captain Ahab Trying to slay that Great White Whale So tied up in their own rules People jump ship and they fail  This is a lesson in what not to become Another lesson in what not to become Another Lesson Lessons in what not to become For some mouths that's me Can't please everyone Tryin' to live By a code I can stick to I ain't 100% pure To the point of being miserable"
angry_all/Limp (Album Version).mp3,Fiona Apple,Limp (Album Version),"You wanna make me sick; You wanna lick my wounds, Don't you, baby? You want the badge of honor when you save my hide But you're the one in the way Of the day of doom, baby If you need my shame to reclaim your pride  And when I think of it, my fingers turn to fists I never did anything to you, man But no matter what I try You'll beat me with your bitter lies So call me crazy, hold me down Make me cry; get off now, baby-- It wont be long till you'll be Lying limp in your own hands  You feed the beast I have within me You wave the red flag, baby you make it run run run Standing on the sidelines, waving and grinning You fondle my trigger, then you blame my gun  And when I think of it, my fingers turn to fists I never did anything to you, man But no matter what I try You'll beat me with your bitter lies So call me crazy, hold me down Make me cry; get off now, baby-- It wont be long till you'll be Lying limp in your own hands"
angry_all/Lover Please.mp3,Melissa Etheridge,Lover Please,"A shot in the dark I woke up to find You had broke all the rules And you changed your mind Didn't I love you good? Didn't I love you right? Then tell me where are you going Dressed to kill tonight? Oh, this one's gonna hurt like hell  Answer my prayer And answer the phone Think twice about it, honey Turn around and come on home Lover, stop Lover, don't Lover, stop Lover, lover, please  It's the same old tune I have sung before It's the same old game It's just a different score If there was just one thing I could call my own It would be your love That's sinking like a stone Oh, this one's gonna hurt like hell  Answer my prayer And answer the phone Think twice about it, baby Turn around and come on home Lover, stop Lover, don't Lover, stop Lover, lover, please  (This one's gonna hurt like hell)  And they hold you Like I want to And they give you What I want to And they take it Like I want to And they make it And they break it Why must you reject me? Why can't you protect me?  Answer my prayer And answer the phone Think twice about it, honey Turn around and come on home Lover, stop Lover, don't Lover, stop Lover, lover  Answer my prayer And answer the phone Think twice about it, honey Turn around and come on home Lover, stop Lover, don't Lover, stop Lover, lover, please  Lover, stop Lover, don't Lover, stop Lover, lover, please  Lover, stop"
angry_all/M-Bike.mp3,PJ Harvey,M-Bike,His m-bike's clean You polish that thing He looks her over more than me But I won't let it get to me Yeah he can play with His machine Night or day Wind or shine Looks at her shape Not at mine But I'm not complaining No I think it's neat Yeah he can play with His machine But all he's speaking And all he sees Is just his motor-bike not me I won't let it get to me Can't stop thinking his god damn machine Motor X4 Take that lady Coast her west Ride his motor Over the edge Yeah I could break her Break her break me But get rid of that God damn machine Yeah I could break her {motor} Break her break me {motor} But get rid of that {motor} God damn machine {motor} Yes I'm gonna break her {motor} Think what you like {motor} I fucking hate {motor} His motorbike {motor)
angry_all/Man-Size.mp3,PJ Harvey,Man-Size,"I'm coming up man-sized Skinned alive I want to fit I've got to get Man-sized I'm heading on Handsome Got my leather boots on  Got my girl and she's a wow I cast my iron knickers down Man-sized no need to shout Can you hear, can you hear me now?  I'm man-sized Man-sized  I'll measure time I'll measure height I'll calculate My birthrite Good Lord I'm big I'm heading on Man-size  Got my leather boots on  Got my girl and she's a wow I cast my iron knickers down Man-sized no need to shout Can you hear, can you hear me now?  My babe looking cool and neat I'm pretty sure good enough to eat Man-size no need to shout Let it all, let it all hang out  I'm man-size Man-size  Silence my lady head Get girl out of my head Douse hair with gasoline Set it light and set it free  Silence my lady head Get girl out of my head Douse hair with gasoline Set it light and set it free"
angry_all/Man.mp3,Yeah Yeah Yeahs,Man,"So, uh, can I count it off? I'll count it off?  1, 1, 2, 3, GO!  I got a man who makes me wanna kill I got a man who makes me wanna kill I got a man who makes me wanna I got a man who makes me wanna kill  Please! (4x)  I got a man who makes me wanna die I got a man who makes me wanna die I got a man who makes me wanna I got a man who makes wanna die, yeah  We're all gonna burn in hell I said we're all gonna burn in hell 'Cause we do what we gotta do real well And we've got the fever to tell I said a-we've got the fever to tell!  Hey! Come on! Ah, ah! Come on, etc.  1, 2, 3, GO!  I got a man beggin' for me I got a man who makes the devil pale I got a man who makes me wanna kill I got a man who makes me wanna kill, yeah  We're all gonna burn in hell I said we're all gonna burn in hell 'Cause we do what we gotta do real well And we've got the fever to tell I said a-we've got the fever to tell!  Yeah, I got a man Well, I got a man Hey, I got a man Yeah, Yeah, I got a man  Whooowhooo... Ha!"
angry_all/Me-Jane.mp3,PJ Harvey,Me-Jane,Damn your chest beating just you stop your screaming You're splitting through my head and swinging from the ceiling Oh move it over tarzan can't you see I'm bleeding I called you by your first name... Good Lord It's me-jane I heard it... Split head... I mean it... Oh Me-Jane Me-Jane Oh damn your chest beating just you stop your screaming All the time you'rer hunting screaming fishing breathing Don't you ever stop and give me time to breath in? I've called you by your first name... Good Lord it's Me-Jane I heard it... Split head... I mean it... Me-Jane I'm trying To make sense ... You're screaming  Don't ruin it on me Don't ruin it on me Don't ruin it all on me  Tarzan I'm pleading stop your fucking screaming You know there's many walls... I'm hanging from the ceiling Oh move it on tarzan can't you see I'm bleeding? Good Lord you never stop...  Don't ruin it on me Don't ruin it on me Don't ruin it on me Don't ruin it on me (Jane) Don't ruin it on me (Jane) Don't ruin it on me (Jane) Don't ruin it on me (Jane) Don't ruin it on me (Jane) Don't ruin it on me ... Jane
angry_all/Miss World.mp3,Hole,Miss World,"I am the girl you know, can't look you in the eye I am the girl you know, so sick I cannot try I am the one you want, can't look you in the eye I am the girl you know, I lie and lie and lie  I'm Miss World Somebody kill me Kill me pills No one cares, my friends My friends  I'm Miss World Watch me break And watch me burn No one is listening, my friends Yeah  I made my bed, I'll lie in it I made my bed, I'll die in it I made my bed, I'll lie in it I made my bed, I'll die in it  Kill girls watch When I eat ether Suck me under Maybe forever, my friends Yeah  I made my bed, I'll lie in it I made my bed, I'll die in it I made my bed, I'll die in it I made my bed, I'll cry in it I made my bed, I'll die in it I made my bed, I'll cry in it I made my bed, I'll die in it I made my bed, I'll die in it My friends  I am the girl you know, can't look you in the eye"
angry_all/Missed.mp3,PJ Harvey,Missed,"He should not be hid He's just too big In a cloud please come down I'd put stars at your feet Put Mars at your head  Show yourself to me And I'd believe I'd moan and I'd weep Fall silent at your speak I'd burst in Full to the brim  Mary lost her head And let it bleed Came crying back to me ""My son where's he bin? Don't deny it And don't you hide him""  No I've missed him No I've missed him No I've missed him No I've missed him  No words No sign Mary say ""I'm not lyin'"" How come he's so big? But good Lord he's bin hid Good Lord where you hid? Ha!  No I've missed him No I've missed him No I've missed him No I've missed him  No I've missed him No I've missed him No I've missed him No I've missed him"
angry_all/My Kind Of Guy.mp3,Kaiser Chiefs,My Kind Of Guy,"Well it starts as a joke Like a stick in the spokes Or removing a bolt from the brakes  Then a bicycle flips Crushing ribs, smashing hips And he broke every bone in his face  Then you're out of control And you can't fill the hole That was left by the thrill of the chase  You're a right piece of work All the flakes go berserk Have you forgotten how good they taste?  You're my kind of guy 'Cause I like your style And you sound as horrible as me And I don't mind If you're unkind You're reminding me of me  As the bycicle race Gathers speed, gathers pace And you feel that you're going too fast  There's a word to the wise You should take some advice 'Cause the nice guys always finish last  You're my kind of guy 'Cause I like your style And you sound as horrible as me And I don't mind If you're unkind You're reminding me of me  You're my kind of guy 'Cause I like your style And you sound as horrible as me And heads will roll As it takes its toll On you and me"
angry_all/Never Gonna Be The Same.mp3,Courtney Love,Never Gonna Be The Same,"Cut me up today I Should've stood in your way He lied  And everywhere a dream Nothing came between I died  Cut me away I will not be for you God comes down  Never gonna be the same Never gonna be the same Never gonna be the same  And if you wanted water And if you wanted food If you want shelter I cannot come over to you  And if you want loove now Or the needle and the spoon You gotta show a little faith in me now, baby I can't come over to you  Never gonna be the same Never gonna be the same God come on down  And if you want my heart out Sittin' by the bay Well the sun went down tomorrow It will not come up today  And if you want my love now And wrapped your arms so cruel If there's a god it's me now, baby I cannot come over to you  Never gonna be the same Just put me in your way She lied  You gotta show a little faith In your old rugged cross you made What comes up it must go down And down and down you cried  And if I wanted fame now Or the glory of the womb And if I wanted my name in places Ill never lie to you  And if I wanted Christ Or a messiah by my side I can't believe in anything I know that Mary lied  I sent you up today Couldve got in your way Oh, Mary lied  Do you know? Can you feel it? Do you feel me?  And if you wanted madness If you want what's pure Well you gotta come over to me, baby My light doesn't reach you  If you want a love So unconditional and real You've gotta ride that black horse, baby Through the depths of Hell that I've been Follow me away Yeah though I walk  I will be the same The strongest one that's made Through the valley of life  Never gonna be the same Goodnight, goodnight Goodnight, goodnight You'll never be the same."
angry_all/Nina.mp3,4 Lyn,Nina,
angry_all/No Children.mp3,Mountain Goats,No Children,"I hope that our few remaining friends Give up on trying to save us I hope we come up with a fail-safe plot To piss off the dumb few that forgave us  I hope the fences we mended Fall down beneath their own weight And I hope we hang on past the last exit I hope it's already too late  And I hope the junkyard a few blocks from here Someday burns down And I hope the rising black smoke carries me far away And I never come back to this town again  In my life, I hope I lie And tell everyone you were a good wife And I hope you die I hope we both die  I hope I cut myself shaving tomorrow I hope it bleeds all day long Our friends say it's darkest before the sun rises We're pretty sure they're all wrong  I hope it stays dark forever I hope the worst isn't over And I hope you blink before I do And I hope I never get sober  And I hope when you think of me years down the line You can't find one good thing to say And I'd hope that if I found the strength to walk out You'd stay the hell out of my way  I am drowning, there is no sign of land You are coming down with me, hand in unlovable hand And I hope you die I hope we both die"
angry_all/No Girl So Sweet.mp3,PJ Harvey,No Girl So Sweet,"In came the girl with the saddened eyes And asked him over again and again ""Was I too weak ? Was I a child? And can't we leave here and start again ?"" And I love you  Said ""I don't mind if you take me down"" And ""I don't mind if you break it all"" But ""how much more can you take from me"" ""How much more can you take from me""  ""I'd like to take you inside my head"" ""I'd like to take you inside of me"" ""You came from heaven is all he said"" ""You came from heaven and came here to me And I love you  He drove it fast to make the night And looked at his angel where she lay Resting her head and closed her eyes And outside the heat and the summer fades  Deep in the sky a storm he'd seen Deep in the sky a storm he'd seen ""There ain't nothing no girl so sweet""  ""Took her from heaven and gave her to me"" ""Took her from heaven and gave her to me"" ""Took her from heaven and gave her to me"" ""Took her from heaven and gave her to me"" ""Took her from heaven and gave her to me"""
angry_all/Not Like You.mp3,4 Lyn,Not Like You,"One, two... one, two, three let's go! Yeah! Come on!  What are you lookin' at? Do I look so different? Okay, I don't look like you, but I think that's all right! What are you stearin' at? Is it my blakk fingernails? Is it my triple-X-L - pants that's hangin' under my ass? Do you like what you see? Do you think that it's digusting? Or do you really wanna look like the way I do? I am someone, you don't want your sister to go out with. I'm a freak, baby! A freak that keeps the people shoutin'... Yeah, yeah!  I'm so happy that I am the way that I am And I'm so happy that I'm not like you! FUKK the standard! FUKK the rest! I'm an original, o-o-riginal!  I sleep all day because I stay awake all night. I got no nine to five and no girl that cries. Got no serious job that is stressin' me out. Separate myself from you, that's what I'm about!  I smile in your face, behind your bakk I talk trash. I'm shakin' your hand before I kikk your ass! I'm a devil, baby, coming straight outta hell! Don't believe a word you say or the stories you tell! You made me this way, so accept the consequence, that you and me will never be friends! Yeah!  I'm so happy that I am the way that I am And I'm so happy that I'm not like you! FUKK the standard! FUKK the rest! I'm an original, o-o-riginal!  I don't talk like you! I don't walk like you! Don't need to jump through all the same hoops you do. I don't dress like you! Don't get stressed like you! Don't have to follow all the same rules you do!  It feels so good not to be a part of you and your stoopid little world that is made of fools. Everyday same old shit, same old life, same old job, 24 - 7 - 365. Always kissin' ass the whole day through... That's why I never wanna be like you!  I'm so happy that I am the way that I am And I'm so happy that I'm not like you! FUKK the standard! FUKK the rest! I'm an original, o-o-riginal!  Not like you!"
angry_all/Oh My Lover.mp3,PJ Harvey,Oh My Lover,"Oh my lover Don't you know it's all right? You can love her You can love me at the same time Much to discover I know you don't have the time but Oh my lover Don't you know it's all right?  Oh my sweet thing Oh my honey thighs Give me your troubles I'll keep them with mine Take at your leisure Take whatever you can find but Oh my sweet thing Don't you know it's all right?  It's all right It's all right There's no time So it's all righ-ight-ight  What's that colour Forming around your eyes? Waltz, my lover Tell me that it's all right Just another Before you go... go away Oh my lover Why don't you just say my name?  And it's all right Say it's all right There's no time Ah... Ah... you lover Ah..."
angry_all/Oh! Darling.mp3,Dana Fuchs,Oh! Darling,"Oh, darling Please believe me I'll never do you no harm Believe me when I tell you I'll never do you no harm  Oh, darling If you leave me I'll never make it alone Oh believe me when I beg you Don't ever leave me alone  When you told me you didn't need me anymore Well, you know I nearly broke down and cried When you told me, oh, you didn't need me anymore Well you know I nearly fell down and died  Oh, darling Please believe me I'll never let you down Believe me when I tell you I'll never do you no harm"
angry_all/Potential Breakup Song.mp3,Aly & AJ,Potential Breakup Song,"It took too long, it took too long, it took too long For you to call back And normally I would just forget that Except for the fact it was my birthday My stupid birthday  I played along, I played along, I played along Rolled right off my back But obviously my armor was cracked What kind of a boyfriend would forget that? Who would forget that?  The type of guy who doesn't see What he has until she leaves Don't let me go 'Cause without me you know you're lost Wise up now or pay the cost Soon you will know  You're not livin' 'til you're livin' Livin' with me You're not winnin' 'til you're winnin' Winnin' me You're not gettin' 'til you're gettin' Gettin' me You're not livin' 'til you're livin' Livin' for me  This is the potential breakup song Our album needs just one Oh baby, please, please tell me  We got along, we got along, we got along Until you did that Now all I want is just my stuff back Do you get that? Let me repeat that I want my stuff back  You can send it in a box I don't care, just drop it off I won't be home 'Cause without me you know you're lost Minus you I'm better off Soon you will know  You're not livin' 'til you're livin' Livin' with me You're not winnin' 'til you're winnin' Winnin' me You're not gettin' 'til you're gettin' Gettin' me You're not livin' 'til you're livin' Livin' for me  You can try, you can try You know, I know it'd be a lie Without me you're gonna die So you better think clearly, clearly Before you nearly, nearly Bust up the situation that you're gonna miss Dearly, dearly Come on  You're not livin' 'til you're livin' Livin' with me You're not winnin' 'til you're winnin' Winnin' me You're not gettin' 'til you're gettin' Gettin' me You're not livin' 'til you're livin' Livin' for me  This is the potential breakup song Our album needs just one Oh baby, please, please tell me This is the potential makeup song Please just admit you're wrong Which will it be which will it be"
angry_all/Richest Junkie Still Alive.mp3,Machines Of Loving Grace,Richest Junkie Still Alive,"You sit around and you nurse your hive  The richest junkie is still alive  And I won't die on that cross for you  And I won't do that time for you   It don't stop me  It don't stop me  It don't stop me  It don't feel the same   You sit around and you count your pearls The richest junkie in the world  And over me you will not swarm  The parasites keep your body warm   It don't stop me  It don't stop me  It don't stop me  It don't feel the same   Don't stop feeding the freezing flame  The wider the damage, the deeper the vein  Supply and demand is the name of the game  It don't feel the same   Hopeless troops on the border  Some of the sicker saints  You sit around and you nurse your hive  The richest junkie is still alive  It don't stop me  It don't stop me  It don't stop me  It don't feel the same   Don't stop feeding the freezing flame  The wider the damage, the deeper the vein  Supply and demand is the name of the game  It don't feel the same"
angry_all/Role Model.mp3,Eminem,Role Model,"Spoken: Ok, I'm going to attempt to drown myself. You can try this at home. You can be just like me. Mic check 1 2, we recordin'?  I'm cancerous, so when I diss you wouldn't wanna answer this If you responded back with a battle rap you wrote for Canibus I'll strangle you to death, then I'll choke you again And break your fuckin' legs till your bones poke through your skin (Ahh) You've beef with me, I'ma even the score equally: Take you on Jerry Springer and beat your ass legally! I get too blunted off of funny home grown 'Cause when I smoke out I hit the trees harder than Sonny Bono (Oh no!) So if I said I never did drugs, That would mean I lie and get fucked more that the president does! Hillary Clinton tried to slap me and call me a pervert I ripped her fucking tonsils out and fed her sherbet! (bitch!) My nerves hurt, and lately I'm on edge Grabbed Vanilla Ice and ripped out his blonde dreads (C'mere, motherfucker!) Every girl I ever went out with is goin' les' Follow me and do exactly what the song says: Smoke weed, take pills, drop outta school, kill people and drink Jump behind the wheel like it was still legal I'm dumb enough to walk in a store and steal So I'm dumb enough to ask a for date with Lauryn Hill Some people only see that I'm white, ignoring skill 'Cause I stand out like a green hat with an orange bill But I don't get pissed, y'all don't even see through the mist How the fuck can I be white? I don't even exist! I get a clean shave, bathe, go to a rave, Die from an overdose and dig myself up out of my grave My middle finger won't go down, how do I wave? And this is how I'm supposed to teach kids how to behave?  Now follow me and do exactly what you see Don't you wanna grow up to be just like me? I slap women and eat shrooms, then O.D. Now don't you wanna grow up to be just like me?  Me and Marcus Allen went over to see Nicole When we heard a knock on the door (knock), must've been Ron Gold Jumped behind the door, put the orgy on hold Killed 'em both then smeared blood on the white Bronco (We did it!) My mind won't work If my spine don't jerk I slapped Garth Brooks out of his rhinestone shirt I'm not a player just an ill rhyme-sayer That'll spray an aerosol can up at the ozone layer (*psssssssh*) My rap style's warped I'm runnin' out the morgue With your dead grandmother's corpse to throw it on your porch (*scream*) Jumped in a Chickenhawk cartoon with a cape on And beat up Foghorn Leghorn With an acorn I'm about as normal as Norman Bates with deformative traits A premature birth that was four minutes late ""Mother, are you there? I love you! I never meant to hit you over the head with that shovel!"" (*evil laugh*) Will someone please explain To my brain That I just severed a main vein With a chainsaw and I'm in pain? I take a breather and sigh, either I'm high Or I'm nuts, 'cause if you ain't tiltin' this room, neither am I So when you see your mom with a thermometer Shoved in her ass, then it probably is obvious I got it on with her 'Cause when I drop this solo shit it's over with I bought Cage's tape, opened it and dubbed over it  I came to the club drunk and with a fake ID Don't you wanna grow up to be just like me? I've been with 10 women who got HIV Now don't you wanna grow up to be just like me? I got genital warts and it burns when I pee Don't you wanna grow up to be just like me? I tie a rope around my penis and jump from a tree You probably wanna grow up the just like me!"
angry_all/Romanticide.mp3,Nightwish,Romanticide,"God love and rest my soul With this sundown neverending The feel is gone yet you ain't gonna see me fail I am the decadence of your world I am an eider covered in oil Happy hunting, you double-faced carnivore  Tell me why No heart to cry Hang me high  The music is dead, the amen is said The kiss of faith is what I beg A loving heart and soul for sale  Tell me why No heart to cry Hang me high  Leave me be And cease to tell me how to feel To grieve, to shield myself from evil Leave me be OD of lies is killing me Romanticide Till love do me part  See me ruined by my own creations  Leave me be And cease to tell me how to feel To grieve, to shield myself from evil Leave me be OD of lies is killing me Romanticide Till love do me part  Dead Boy's alive but without sense I need a near-death experience Heart once bold Now turned to stone Perfection my messenger from hell  Wine turns to water Campfires freeze, loveletters burn Romance is lost Lord, let me be wrong in this pain  Temporary pain, eternal shame To take part in this devil's chess game Spit on me, let go, get rid of me And try to survive your stupidity"
angry_all/Ruby.mp3,Kaiser Chiefs,Ruby,"Let it never be said The romance is dead 'Cause there's so little else Occupying my head There is nothing I need Except the function to breathe But I'm not really fussed Doesn't matter to me  Ruby, Ruby, Ruby, Ruby! And do you, do you, do you, do you? Know what you're doing, doing to me? Ruby, Ruby, Ruby, Ruby!  Due to lack of interest Tomorrow is cancelled Let the clocks be reset And the pendulums held 'Cause there's nothing at all Except the space in between Finding out what you're called And repeating your name  Ruby, Ruby, Ruby, Ruby! And do you, do you, do you, do you? Know what you're doing doing to me? Ruby, Ruby, Ruby, Ruby!  Could it be, could it be That you're joking with me And you don't really see You with me? Could it be, could it be That you're joking with me And you don't really see You with me?  Ruby, Ruby, Ruby, Ruby! And do you, do you, do you, do you? Know what you're doing doing to me? Ruby, Ruby, Ruby, Ruby! And do you, do you, do you, do you Know what you're doing doing to me?"
angry_all/Scum Of The Earth.mp3,Rob Zombie,Scum Of The Earth,"Scum of the earth Come on  Yeah Run and kill I destroy the will A hero that doesn't exist, yeah Smoking gun Well I am the one A bullet hole in your fist Yeah  Hey, I'm breathing Hey, I'm bleeding Hey, I'm screaming Scum of the earth Come on  Hey, I'm breathing Hey, I'm bleeding Hey, I'm screaming Scum of the earth Come on  Wake up dead Bleeding red A world that doesn't exist, yeah Heaven waits Within the gates Rusting in the mist Yeah  Hey, I'm breathing Hey, I'm bleeding Hey, I'm screaming Scum of the earth Come on  Hey, I'm breathing Hey, I'm bleeding Hey, I'm screaming Scum of the earth Come on  Go, go, go, go, go, go Go, go, go, go, go, go  Yeah Run and kill I destroy the will A hero that doesn't exist, yeah Smoking gun Well I am the one A bullet hole in your fist Yeah  Hey, I'm breathing Hey, I'm bleeding Hey, I'm screaming Scum of the earth Come on  Hey, I'm breathing Hey, I'm bleeding Hey, I'm screaming Scum of the earth Come on  Hey, hey, hey, hey, hey, hey Scum of the earth Hey, hey, hey, hey, hey, hey Scum of the earth Hey, hey, hey, hey, hey, hey Scum of the earth Hey, hey, hey, hey, hey, hey Scum of the earth"
angry_all/She Walks On Me.mp3,Hole,She Walks On Me,"Geeks do not have pedigrees Or perfect punk rock resumes Or anorexic magazines It smells like girl, it smells like girl  She walks over me She walks over me  Hold you close like we both died My ever-present suicide My stupid fuck, my blushing bride Oh tear my heart out, tear my heart out  She walks over me She walks over me  I'd shut my mouth with you for a rag I use the rest of you for a gag I shut my mouth with you for a rag I use the rest of you  Kitty, kitty, please come here But don't you touch me, don't you dare We look the same, we talk the same We are the same, we are the same  She walks over me She walks over me  I'd shut my mouth with you for a rag I use the rest of you for a gag I shut my mouth with you for a rag I use the rest of you  Nothing seems to walk the same And nothing seems to talk the same You never know what you will get You never know what you'll forget  She walks over me She walks over me She walks"
angry_all/Sheela-Na-Gig.mp3,P J Harvey,Sheela-Na-Gig,"I've been trying to show you over and over Look at these my child-bearing hips Look at these my ruby red ruby lips Look at these my work strong arms and You've got to see my bottle full of charm I lay it all at your feet You turn around and say back to me  He said Sheela-na-gig, sheela-na-gig You exhibitionist Sheela-na-gig, sheela-na-gig You exhibitionist  Gonna wash that man right out of my head *Just like the first time he said he didn't care Gonna wash that man right out of my hair Heard it before, no more Gonna wash that man right out of my head  Turn the corner another one there Gonna wash that man right out of my head Heard it before  He said Sheela-na-gig, sheela-na-gig You exhibitionist Sheela-na-gig, sheela-na-gig You exhibitionist  Put money in your idle hole Put money in your idle hole  Gonna wash that man right out of my head Just like the first time he said he didn't care Gonna wash that man right out of my head Heard it before, no more Gonna take my hips to a man who cares Turn the corner another one there Gonna take my hips to a man who cares Heard it before  He said Sheela-na-gig, sheela-na-gig You exhibitionist Sheela-na-gig, sheela-na-gig You exhibitionist  Put money in your idle hole Put money in your idle hole  He said ""wash your breasts, I don't want to be unclean"" He said ""please take those dirty pillows away from me""  He said ""wash your breasts, I don't want to be unclean"" He said ""please take those dirty pillows away from me""  He said ""wash your breasts, I don't want to be unclean"" He said ""please take those dirty pillows away from me""  He said ""wash your breasts, I don't want to be unclean"" He said ""please take those dirty pillows away from me"""
angry_all/Sheena Is A Punk Rocker.mp3,The Vandals,Sheena Is A Punk Rocker,"Well the kids are all hopped up and ready to go They're ready to go now They've got their surfboards And they're going to the discotheque a go go But she just couldn't stay She had to break away Well New York City really has it all Oh yeah, oh yeah  Sheena is a punk rocker Sheena is a punk rocker Sheena is a punk rocker now (1,2,3,4) Sheena is a punk rocker Sheena is a punk rocker Sheena is a punk rocker now (1,2,3,4) She's a punk punk, a punk rocker Punk punk, a punk rocker Punk punk, a punk rocker Punk punk, a punk rocker now  (1,2,3,4) Well the kids are all hopped up and ready to go They're ready to go now They've got their surfboards And they're going to the discotheque a go go But she just couldn't stay She had to break away Well New York City really has it all Oh yeah, oh yeah"
angry_all/Shutterbug.mp3,Veruca Salt,Shutterbug,"It's freezing in Bristol There's love on the telly A girl grinning at me She's doing the shimmy  And she's cool And she's skinny And she's a fool For the last living rock king  It's her thrill It's her wonder It's her will It's her way home She's right where she always wanted to be She can't change, change, change  It's lighting in London (it's lighting in London) There's shit on the telly (there's shit on TV) You're pushing my buttons (pushing my buttons) You know how to touch me  And I knew That you'd choose me By the times That you tried to refuse me  It's your thrill It's your wonder It's your will It's your way home You're right where you always wanted to be You can't change, change, change, woah  It's morning in Philly (it's morning in Philly) My head's feeling heavy (my head's feeling heavy) The sun makes me dizzy (the sun makes me sick) You monkey, you left me   And I know That you miss me By the way That you kiss and resist me   It's my wonder It's my will It's my way home I'm right where I always dreamed I would be I can't change, change, change, woah"
angry_all/Similar Features.mp3,Melissa Etheridge,Similar Features,"Go on and close your eyes Go on, imagine me there She got similar features With longer hair And if that's what it takes To get you through Go on and close your eyes It shouldn't bother you  You never had to wait For nothing in your life I guess wanting me must have been A steel blue knife And when night after night The scent of passion would linger You had to have the jewels Wrapped around your finger Now you keep running down the road In your midnight state of mind Curiosity kills If you can't read the signs  Go on and close your eyes Imagine me there She got similar features With longer hair And if that's what it takes To get you through Go on and close your eyes It shouldn't bother you  Dancing with the wall Made you bitter and sweet There ain't much you can do When they just lay it at your feet But could you tell by the song I wanted to be the one? Did you listen again When the damage was done? Now the paint's still wet In your do-it-by-number dream Are you gonna tell me how it felt? Will you tell me what it means?  Go on and close your eyes Go on, imagine me there She got similar features With longer hair And if that's what it takes To get you through Go on and close your eyes It shouldn't bother you  Was it want With no desire? Was it smoke With no fire? Did I say It doesn't rip me apart? I lied I'm sorry, dear My hands are tied  Go on and close your eyes Go on, imagine me there She got similar features With longer hair And if that's what it takes To get you through Go on and close your eyes It shouldn't bother you  Close your eyes Imagine me there She's got similar features With longer hair And if that's what it takes To get you through Close your eyes It shouldn't bother you Shouldn't bother you Yeah... Shouldn't bother you Yeah... It shouldn't bother you Shouldn't bother you"
angry_all/Sleepwalking.mp3,ILL Repute,Sleepwalking,
angry_all/Snot.mp3,Snot,Snot,"SNOT We're fittin' to take your town You know we wear the crown Just got to mess around Leave your daughters and your sisters with me Down Down for that fattest sound We're comin' to your town Breaking some ground Someone's got to do it  Can you slow down? (Just can't be) Gotta have a fat sound (From S.B.) Motherfucker said Is your soul found? (Can't you see?) And we're comin' to your town Break It Smash It Motherfuckin' Snot  Snot We're fittin' to take your town You know we wear the crown Just got to mess around Leave your daughters and your sisters with me Down Down for that fattest sound We're comin' to your town Breaking some ground Someone's got to do it  Can you slow down? (Just can't be) Gotta have a fat sound (From S.B.) Motherfucker said Is your soul found? (Can't you see?) And we're comin' to your town  Someone's got to do it SNOT You always knew this Yeah SNOT Crew We're undisputed Yeah SNOT Though we rule your world Clockin' all them girls We're takin' yours and no We'll never Stop  Well Snot I've got to tell you once again Don't try and play my crew cause you just can't win I like to hear the sound when your skull cracks If you talk back feel us attack y'all We're fixin' to take you down with a fat, funky sound Gonna steal your crown Not gonna mess around I know you hear my voice 'cause you got no choice The volume of my crew still undisputed  If you don't move We're gonna roll right over motherfucker Down with this crew Yes everything's gonna be all right I've got to wow the crowd with a sound so loud Try and front but you know I'm gonna get down I've got the mic that's right what's at stake is Afraid you'll hear the truth You can't take this  Slow down (Just can't be) Gotta have a fat sound (From S.B.) Motherfucker said Is your soul found? (Can't you see?) And we're comin' to your town  Yeah Snot We're fittin' to take your town You know we wear the crown Just got to mess around Leave your daughters and your sisters with me Down Down for that fattest sound We're comin' to your town Breaking some ground Someone's got to do it SNOT You always knew this Yeah SNOT Crew We're undisputed Yeah SNOT Though we rule your world Clockin' all them girls Don't you know we're gonna Break It Smash It Gonna get it"
