f_name,a_name,title,lyrics
happy_all/Island In The Sun.mp3,Weezer,Island In The Sun,"Hip hip Hip hip Hip hip Hip hip  When you're on a holiday You can't find the words to say All the things that come to you And I wanna feel it too  On an island in the sun We'll be playin' and havin' fun And it makes me feel so fine I can't control my brain  Hip hip Hip hip  When you're on a golden sea You don't need no memory Just a place to call your own As we drift into the zone  On an island in the sun We'll be playin' and havin' fun And it makes me feel so fine I can't control my brain  We'll run away together We'll spend some time forever We'll never feel bad anymore  Hip hip Hip hip Hip hip  On an island in the sun We'll be playin' and havin' fun And it makes me feel so fine I can't control my brain  We'll run away together We'll spend some time forever We'll never feel bad anymore  Hip hip Hip hip (We'll never feel bad anymore) Hip hip (No, no) Hip hip Hip hip (We'll never feel bad anymore) Hip hip (No, no) Hip hip"
happy_all/Keep It On Going.mp3,Amy Grant,Keep It On Going,"(A one... two three four.)  Someone's got to keep it on going, Just as long as they're folks who haven't heard. So you can count on me, 'cause He's showing There's so many ways to spread His Word.  Don't you know that Someone's got to keep it on going, (keep it going) Just as long as they're folks who haven't heard. So you can count on me, 'cause He's showing There's so many ways to spread His Word.  Don't you really know that Someone's got to keep it on going, (sooooomeone!) (keep it going) Just as long as they're folks who haven't heard. So you can count on me, 'cause He's showing There's so many ways to spread His Word.  Got to listen to me, Someone's got to keep it on going, (sooooomeone!) (keep it going) Just as long as they're folks who haven't heard. So you can count on me, 'cause He's showing There's so many ways to spread His Word.  Yeah."
happy_all/Keli Richards.mp3,Gin Blossoms,Keli Richards,"She came to L.A. all the way from Boston town She wound up on the screen where I saw her goin' down Now I can't see you, I can't see you at all No I don't know you, I don't know you at all  I bought her films, yeah I bought all her magazines And I watched her every move until I saw her in my dreams Now I can't stand it, see you caught from behind No I don't know you, girl you gotta be mine Keli Richards come on...  Well I bought a gun, there's just one thing left to do Now I can't make up my mind it comes down to me or you Now I can't see you, I can't see you at all No I don't know you, I don't know you at all Keli Richards come on..."
happy_all/Knockdown Dragout.mp3,Weezer,Knockdown Dragout,Any day now you'll call me up on the phone Say you love me more than you ever did before  It's all that I can do right now To make it up to you somehow And meet you on the other side of home  Take no prisoners here in this knock-down drag-out war That we're waging on each other forever more  It's all that I can do right now To make it up to you somehow And meet you on the other side of home Say you love me now  It's all that I can do right now To make it up to you somehow And meet you on the other side of home Say you love me now  Take no prisoners here in this knock-down drag-out war That we're waging on each other forever more That we're waging on each other forever more
happy_all/LadyFlash.mp3,The Go! Team,LadyFlash,"Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah  We started out friends, said that you're the kind of man takes every girl for a fool  When the worlds go to it, they always fall, but can they do it with a cold foot, I say're you're-- Well, you, you The fantastic kids are so nasty (Say what?) Those nasty kids are fantastic  Five, four, three, two, one  We came here to rock the microphone We came here to rock the microphone  Our aim was to break it down to the bone Our aim was to break it down to the bone  What's gonna rock What's gonna rock What's gonna rock What's gonna rock  We started out friends, said that you're the kind of man takes every girl for a fool  What's my boyfriend's going to do and do the shot and do the do  We came here to rock the microphone We came here to rock the microphone  Our aim was to break it down to the bone Our aim was to break it down to the bone We came here to rock the microphone We came here to rock the microphone  Our aim was to break it down to the bone Our aim was to break it down to the bone  Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah"
happy_all/Let Me Be Your Valentine.mp3,Scooter,Let Me Be Your Valentine,"Get up!  Yeagh!  Let me be your valentine, yeagh, Let me be your valentine, c'mon, (He, he, he) Let me be your valentine, yeagh, Let me be your valentine, c'mon, (He, he, he) You have to move right now, D you understand, Pleeeeaaaase jump a little higher, We gonna rock the place,  Yes,  Speed it up, speed it up, turn up the base, Speed it up, speed it up, turn up the base, Higher and higher feeling so fine, Listen to the voice of valentine,  Let me be your valentine, yeagh, Let me be your valentine, c'mon, (He, he, he) Let me be your valintine, yeagh, Let me be your valentine, c'mon, (He, he, he)  Yeagh!  Rough,  We love the heavy hardcore, We're getting out of control, Pleeeeaaase letme see ya smile, Let's get it to another dimension, Yes!, Speed it up, speed it up, turn up the base, Speed it up, speed it up, turn up the base, Higher and higher feeling so fine, Listen to the voice of valentine,  Let me be your valentine, yeagh, Let me be your valentine, c'mon, (He, he, he) Let me be your valentine, yeagh, Let me be your valentine, c'mon (He, he, he) This is the valentines paaaaaarty, Paaaaaaaaarty, (He, he, he),"
happy_all/Lollipop.mp3,MIKA,Lollipop,"Hey, what's the big idea? Yo, Mika!  I said, sucking too hard on your lollipop Oh, love's gonna get you down I said, sucking too hard on your lollipop Oh, love's gonna get you down  Sucking too hard on your lollipop Oh, love's gonna get you down Sucking too hard on your lollipop Oh, love's gonna get you down Say love, say love Oh, love's gonna get you down Say love, say love Oh, love's gonna get you down  I went walking in with my mama one day When she warned me what people say Live your life until love is found 'Cause love's gonna get you down  Take a look at the girl next door She's a player and a downright bore Jesus loves her, she wants more Oh, bad girls get you down  Singing Sucking too hard on your lollipop Oh, love's gonna get you down Sucking too hard on your lollipop Oh, love's gonna get you down Say love, say love Oh, love's gonna get you down Say love, say love Oh, love's gonna get you down  Mama told me what I should know Too much candy gonna rot your soul If she loves you, let her go 'Cause love only gets you down  Take a look at the boy like me Never stood on my own two feet Now I'm blue as I can be Oh, love come get me down  Singing Sucking too hard on your lollipop Oh, love's gonna get you down Sucking too hard on your lollipop Oh, love's gonna get you down Say love, say love Oh, love's gonna get you down Say love, say love Oh, love's gonna get you down  I went walking with my mama one day When she warned me what people say Live your life until love is found Or love's gonna get you down  Singing Sucking too hard on your lollipop Oh, love's gonna get you down Sucking too hard on your lollipop Oh, love's gonna get you down Say love (Say love) Say love (Say love) Oh, love's gonna get you down Say love (Say love) Say love (Say love) Oh, love's gonna get you down  Mama told me what I should know Too much candy gonna rot your soul If she loves you, let her go 'Cause love only gets you down  Whoa-oh, whoa-oh, whoa-oh, lollipop Whoa-oh, whoa-oh, whoa-oh, lollipop  Sucking too hard on your lollipop Oh, love's gonna get you down Say sucking too hard on your lollipop Hey, love's gonna get you down (Lollipop)"
happy_all/Long Time.mp3,Blue,Long Time,"The warmth in your smile is the warmth I desire 'Cause its cold and lonely in this place, oh yeah And I need to get close to the flames in a fire And lose myself in yesterday, oh yeah  It's gonna be a long, long long time Till I can be with you again, and see your smile It's gonna be a long, long long time Till I hold you in my arms all through the night It's gonna be a long long time  Lookin' outside and I feel so uninspired And it rains all through this lonely night, oh yeah I'm losing my mind and my soul is feelin' tired 'Cause girl you are my guiding light, oh yeah  It's gonna be a long, long long time Till I can be with you again, and see your smile It's gonna be a long, long long time Till I hold you in my arms all through the night It's gonna be a long long time  Girl I been missin' you, I never thought I'd feel this way All the feelings I have inside grow stronger everyday Girl I want you to know that I will never let you go Your the only one I really want and there's one thing you've gotta know...  It's gonna be a long, long long time Till I can be with you again, and see your smile It's gonna be a long, long long time Till I hold you in my arms all through the night It's gonna be a long long time  It's gonna be a long, long long time Till I can be with you again, and see your smile It's gonna be a long, long long time Till I hold you in my arms all through the night It's gonna be a long long time  Listen girl I need you, are you there? There's nothing I can do about it And I wanna hold you And show you how much you mean to me Oh Yeah, that's right Don't you know I want you in my life, my life, my life"
happy_all/Lost In Space.mp3,Dune,Lost In Space,"Start up everybody now We are here and lost in space We're gonna leave the homebase now So just look out, face to face  Please clap your hands and stamp your feet We are losing our control We're going now right to the sun So please give me a call  Start up everybody now We are here and lost in space We're gonna leave the homebase now So just look out, face to face  Please clap your hands and stamp your feet We are losing our control We're going now right to the sun So please give me a call"
happy_all/Love Today.mp3,MIKA,Love Today,"Doom, da da di da di Doom, da da di da di  Everybody's gonna love today Gonna love today Gonna love today Everybody's gonna love today Gonna love today Any way you want to Any way you've got to Love love me Love love me Love love  I've been crying for so long Fighting tears just to carry on But now, but now It's gone away  Hey, girl, why can't you carry on? (Carry on) Is it 'cause you're just like your mother? (Like your mother) A little tyke, like to tease for fun (Tease for fun) Well, you ain't gonna tease no other Gonna make you a lover  Everybody's gonna love today Love today Love today Everybody's gonna love today Any way you want to Any way you've got to Love love me Love love me Love love  Girl in the blue with the big bust on  Big bust on Big bust on Wait 'til your mother and your papa's gone Papa's gone Momma Momma papa Shock shock me Shock shock me Shock shock  I said everybody's gonna love today Gonna love today Gonna love today I said everybody's gonna love today Gonna love today Any way you want to Any way you've got to Love love me Love love me Love love  Carolina sits on '95 Give her a dollar and she'll make you smile Hook her, book her, nook her Walk away  Girl dresses like a kid for fun (Kid for fun) Licks her lips they're something other (Something other) Tries to tell you life has just begun (Just begun) But you know she's getting something other Than the love from her mother  Everybody's gonna love today Love today Love today Everybody's gonna love today Any way you want to Any way you've got to Love love me Love love me Love love  Girl in the blue with the big bust on  Big bust on Big bust on Wait 'til your mother and your papa's gone Papa's gone Momma Momma papa Shock shock me Shock shock me Shock shock  Said everybody's gonna love today Gonna love today Gonna love I said everybody's gonna love today Gonna love today Any way you want to Any way you've got to Love love me Love love me Love love  Doom, da da di da di Doom, da da di da di Doom, da da di da di Doom, da da di da di dit doom Da di da di dit doom Da di da di doom Da da di da di doom Da da di da di doom...  Everybody's gonna love today Gonna love today Gonna love today Everybody's gonna love today Gonna love today Any way you want to Any way you've got to Love love me Love love me Love love  Doom, da da di da di Doom, da da di da di Doom, da da di da di Doom, da da di da di dit doom Da di da di dit doom Da di da di doom Da da di da di doom Da da di da di"
happy_all/Lullaby.mp3,The Cat Empire,Lullaby,"I cannot say ""oh sweetness"" Like he could And I cannot play a lullaby Like it should  I'll give you all night movie marathon And a triple expresso so you can stay awake It might be late - but It's never too late for that lovin' My sexy babe  I used to cry but now I have to laugh Because she's got that torment To a fine art Smart like a foxy And craf-ty-as-a-cat I'm looking up As I'm lying on my back Bite the beast If I want a big piece of the pie But she's taken the feast In the blink of an eye I can-not-jus-ti-fy What's going on - It feels so right When it seems so wrong Like a plot hatched In the sweet spot of that trap - Ask what she's schemes She say ""oh this and that"" Then she snaps like a camera In black with a flash Puts the drum in the drama The hand in the clap She's a map with no bearings Attached - no Safety-in-this-match Fire you can't catch Then zap I was struck by that Bolt before dawn Then by breakfast honey We was signed and sworn I'll give you all night movie marathon And a triple expresso so you can stay awake It might be late - but It's never too late for that lovin' My sexy babe Something always telling me ""Save prayers before dawn"" 'Cause what happens when I'm with you Makes me shake my head then smile and yawn I'm worn out but I'm beaming And it seems that we are dreamy As we head out through that strange old morning door  This game is no game But it's played all the same And I love it even If it makes me deranged It's like tears in the rain Burning spears in my brain Cause me pain sometimes Make me drained But I cannot complain - Mad the ugly good and bad Had some happy with my sad And some tricks in my bag When it's up run a muck Like a bull that just bucked When it's down it's a drag And you fight with no partner to tag - At times I would dive in the sea To escape from the rising And crashing malea Drink tea with a fat fish And find a golden key Then rise to the surface And open my baby And maybe she'd say ""we are crazy"" The two of us together like melbourne weather Be like balls in a maze see We rolling along in obcurity But when we meet in the middle Say mmm it's a treat  I'll give you all night movie marathon And a triple expresso so you can stay awake - It might be late but It's never too late for that lovin' My sexy babe Something always telling me ""Save your prayers before dawn"" 'Cause what happens when I'm with you Makes me shake my head then smile and yawn I'm worn out but I'm beaming And it seems that we are dreamy As we head out through that strange old morning door  I used to laugh But now I have to cry Because today my baby tell me That it's time to say goodbye Ask her ""why what did I do? You and me we were so sly"" Then she sigh ""that's true We were slinky through and through But it's sad and it's set I get high then I get depressed And I guess when we're together It's that happy kind of stress"" Touching left right down Kiss my finger I reply ""I can't deny you were the best And by the best I mean the mess you made I must confess I never Met-a-more sexy maid That smell like me So bless your wayward ways And loving craze and crazy days And things you'de say And looks you made You're not the queen of hearts You're the queen of spades And you'de take my breath away Any day that way So anyway is this the end? Is this the fifth act of the play? I kissed her then I turned And was about to walk away When I sense a little tingle That begin down from below Then I hear her with a whisper ""You're the most gullible man I know"""
happy_all/Magic Dance.mp3,David Bowie,Magic Dance,"You remind me of the babe (What babe?) The babe with the power (What power?) The power of voodoo (Who do?)  You do (Do what?)  Remind me of the babe  I saw my baby, crying hard as babe could cry What could I do? My baby's love had gone And left my baby blue Nobody knew  What kind of magic spell to use Slime and snails Or puppy dog tails? Thunder or lightning Then baby said Dance magic, dance (dance magic, dance) Dance magic, dance (dance magic, dance) Put that baby's spell on me Jump magic, jump (jump magic, jump) Jump magic, jump (jump magic, jump) Put that magic jump on me Slap that baby, make him free!  I saw my baby, trying hard as babe could try What could I do? My baby's fun had gone And left my baby blue Nobody knew  What kind of magic spell to use Slime and snails Or puppy dogs tails Thunder or lightning Then baby said:  Dance magic, dance (dance magic, dance) (x4) Jump magic, jump (jump magic, jump) (x2)  Put that baby's spell on me (ooh)  You remind me of the babe (What babe?) The babe with the power (What power?)  The power of voodoo (Who do?)  You do (Do what?)  Remind me of the babe  Dance magic, dance, ooh ooh ooh Dance magic, dance magic, ooh ooh ooh Dance magic  What kind of magic spell to  use Slime and snails Or puppy dog tails Thunder or lightning Something frightening  Dance magic, dance Dance magic, dance Put that baby's spell on me Jump magic, jump Jump magic, jump Put that magic jump on me Slap that baby make him free Dance magic, dance (dance magic, dance) Dance magic, dance (dance magic, dance) Dance magic, dance (dance magic, dance) Dance magic, dance (dance magic, dance) Jump magic, jump (jump magic, jump) Jump magic, jump Put that magic jump on me  Dance magic, dance (dance magic, dance) Dance magic, dance (dance magic, dance) Dance magic, dance Slap that slap that baby make him free Dance magic, dance (dance magic, dance) (repeat ad-lib)"
happy_all/Make It Happen.mp3,Blue,Make It Happen,"Tonight you'll call We'll talk the way we always do But still you won't Say anything I want you to And still your words Are sweet they just can't ease my pain  I guess I've waited far too long You just can't lead me on  Don't just talk, make it happen Don't make me wait for you Do what you came to do Keep me up Don't stop Make it happen Its got the best of me This curiosity Kills me every time  I'll wait for you To ring my bell, I want you too So don't be late Quit playing games, Don't hesitate  Cause now I've waited far too long. You just can't lead me on.  Don't just talk, make it happen Don't make me wait for you Do what you came to do Keep me up Don't stop Make it happen Its got the best of me This curiosity Kills me every time  You know that I won't do you wrong This love I feel is far too strong Cause now I've waited far to long You can't just lead me on  Don't just talk, make it happen Don't make me wait for you Do what you came to do Keep me up Don't stop Make it happen Its got the best of me This curiosity You know it kills me every time  Make it happen Don't make me wait for you Do what you came to do Keep me up, Don't stop Make it happen Its got the best of me The curiosity kills me every time"
happy_all/Makes me Happy.mp3,Drake Bell,Makes Me Happy,"Well hello, let's go Everybody must know Love's in my heart like a bomb It's blowing a song inside I'm singing Sunshine that you're bringing now And it makes me happy  Listen to the radio Playin' back in stereo Sounds like my favorite song I'm humming along my head is ringing And I just can't stop singing now Cause it makes me happy Makes me happy  You're everything I need, handed from above I can't get enough of your love Cause it makes me happy It makes me happy  Living in a daydream I'll show you what it all means Spending some time in the sun Let's get up and run It's just beginning And I just can't stop singing now Cause it makes me happy  Like a fantasy that you never find Right in front of me all the time And it makes me happy  I want it all but not too much I wanna feel the way you touch me I'm the kind of guy who's always there to come and find you  Save the rainy days for another time I'm just here to say read between the lines I'm so glad that you're mine  Cause you make me happy You make me wanna sing Do do dodododo Do do do do Do do dodododo Do do do do Do do dodododo Do do do do Do do dodododo Do do do do Do do dodododo Do do do do"
happy_all/Marvo Ging.mp3,The Chemical Brothers,Marvo Ging,"Marvo Ging, Marvo Ging, Boy I love your special thing.  Marvo Ging, Marvo Ging, Girl I love your special thing.  Do, Doooo, Do doooooo. Marvooooooo Ging.  Marvo Ging, Got to love your fleshy ring."
happy_all/Memphis.mp3,Rancid,Memphis (Album Version),"""I've lived my whole life made mistakes From the get-go Street kid from the start right no regrets no I do what I want yeah 'cause I said so No sleep for the weak right No bet no Rollin' with the punk rockers I ain't lying Fake guns fake bands Fake punk I ain't buying Hit the road All I know Rock and roll ain't dying about fifteen deep We hit the streets low ridin'  By the time we made it to New Orleans It must have been half past three By the time we made it to Memphis We were crazy Tonight you're our blanket And you're gonna keep us warm Tonight protect us from the storm  He was back causing trouble Time's they're a comin' round Oh no, let me go to another round Tuesday night is when the storm's gonna settle down Had a glance circumstance Don't cause trouble bound She's the one, all alone, I come lookin' Smoke and mirrors as I watch Aw, that girl was trippin' It's no fun lost again To have your heart broken Greed is from a world that is built on hustling  By the time we made it to New Orleans It must have been half past three By the time we made it to Memphis We were crazy Tonight you're our blanket And you're gonna keep us warm Tonight protect us from the storm  The breaks were falling when they had failed Every road can lead ya straight down to fucking hell Rain stopped falling when they had failed Every road can take ya straight down to hell  Doing nothing here everyone straight trippin' Happy at times are gone past starts slippin This will be enough to keep me on the road livin' Good every night in a different city I'll be sleepin' Let me know here we go met a girl named Lola Is she here Is she there Drinking Jack and cola, She says, ""Tim, where ya been? I got somethin' to show ya"" Lola fired off her clothes and started rock and rollin'!  By the time we made it to New Orleans It must have been half past three By the time we made it to Memphis We were crazy Tonight you're our blanket And you're gonna keep us warm Tonight protect us from the storm"""
happy_all/Million Miles From Home.mp3,Dune,Million Miles From Home,I was sent to outer space To find another happy place Now I'm left here all alone Million miles away from home  Floating through the galaxy All the stars in front of me Now I'm left here all alone Million miles away from home
happy_all/Misread.mp3,Kings Of Convenience,Misread,If you wanna be my friend You want us to get along Please do not expect me to Wrap it up and keep it there The observation I am doing could Easily be understood As cynical demeanour But one of us misread... And what do you know It happened again  A friend is not a means You utilize to get somewhere Somehow I didn't notice Friendship is an end What do you know It happened again  How come no one told me All throughout history The loneliest people Were the ones who always spoke the truth The ones who made a difference By withstanding the indifference I guess it's up to me now Should I take that risk or just smile?  What do you know It happened again What do you know
happy_all/Mixed Up World.mp3,Sophie Ellis-Bextor,Mixed Up World,I'm feeling all messed up I have a voice inside my head It says turn to the left then it says turn to the right Don't want to bring you down But I am really needing guidance now What would you do within my shoes (Don't cry) I'm going crazy (Stay high) I've never felt so low (Don't hide) I want to turn and run We've got to find a place to go  So when you're feeling kind of mixed up Just remember it's a mixed up world And when you're feeling life is just too tough Just remember you're a real tough girl  I look around my life And all I see is contradiction and a lack of faith Cynicism rules the day I know it has it's place But I am really needing guidance now Reminding me I'm strong inside  (Don't cry) I know you love me (Stay high) and we'll make it through this time (Don't hide) I want to feel the sun We've got to start to take control  (Why) do I feel this pain (Why) has this world gone insane
happy_all/More Than This.mp3,10000 Maniacs,More Than This,I could feel at the time There was no way of knowing Fallen leaves in the night Who can say where they're blowing As free as the wind And hopefully learning Why the sea on the tide Has no way of turning  More than this - you know there is nothing More than this - tell me one thing More than this - you know there is nothing  It was fun for a while There was no way of knowing Like a dream in the night Who can say where we're going No care in the world Maybe I'm learning Why the sea on the tide Has no way of turning  More than this - you know there is nothing More than this - tell me one thing More than this - you know there is nothing
happy_all/Move Your Ass!.mp3,Scooter,Move Your Ass!,"Scooter! Back in the house! Yeah! Get off your shirts and wait for further instructions! Starting the ""microphone business"" I've got one message for the next decade:  Move your ass! Move your ass!  All right posse... Keep it up! Hardcore!  Come on!  Keep it up!  Move your ass! Move your ass! Move your ass! Move your ass!  Ravers unite! Maximum respect to the whole European posse! Make some noise!  Ravers of the universe... you keep the spirit alive! Come on! Come on! Hardcore!  Sing it: Yeah-ay! (Yeah-ay!) Yeah-ay! (Yeah-ay!) Yeah-ay! (Yeah-ay!) Yeah-ay! (Yeah-ay!) All right, come on posse, you've gotta keep it up! Come on, party, you've gotta move! Come on posse, you've gotta keep it up! Come on, party... Move your ass!  Move your ass! Move your ass! Move your ass!  It's nice to be important, but it's more important to be nice Posse! You keep the spirit alive! Come on!  Kickin' it, kickin' it, kickin' it, yeah!  Move you ass! Yeah! Rave nation! Stay tuned!"
happy_all/My Brain Tells My Body.mp3,The Vandals,My Brain Tells My Body,"Every time I see her sweet face makes me wanna, gotta cut my throat. No escaping or erasing her image that haunts me and taunts me again. But the sun it never lies, just offers warmth and fills the skies. Says to me ""it's time she went away"".  My brain it tells my body, keep staring at the sun. Till my retina's are scorched and this torture's run it's course for me. Her ocular stimulation fuels my lust so I can't trust my eyes. Two little traitors that wont avert. Now they've hurt me for the last time. But the sun it never lies, just offers warmth and fills the skies. Says to me ""it's time she went away"".  My brain it tells my body, keep staring at the sun. Till my retina's are scorched and this torture's run it's course for me. My brain it tells my body, keep staring at the sun. And the glow of the corona till I feel I've never known you. But the sun it never lies, just offers warmth and fills the skies. Says to me ""it's time she went away"".  My brain it tells my body, keep staring at the sun. Till my retina's are scorched and this torture's run it's course for me. My brain it tells my body, keep staring at the sun. And the glow of the corona till I feel I've never known you."
happy_all/Nobody's Sweetheart.mp3,Cab Calloway & His Orchestra,Nobody's Sweetheart,"You're nobody, nobody's sweetheart now There's no place for you somehow With all of your fancy clothes, silken gowns You'll be out of place in the middle of your own hometown  When you walk down the avenue All the folks just can't believe that it's you With all those painted lips and painted eyes Wearing a bird of paradise It all seems wrong somehow, it seems so funny You're nobody's sweetheart"
happy_all/O Baby.mp3,Siouxsie And The Banshees,O Baby,The cracks in the ground grin up at me Even the creases in my shoes smile up at me Thought it would end in tragedy But I'm swimming around in your glory  O baby O maybe I'm the lost and found  Look at the stars they're raining down Even these jewels want to kiss your crown Don't be afraid it's just your face Has that effect on heavens' treasure case  O baby O maybe You're a paragon  I haven't felt this way before Impossible to ask for more Unanswered prayers that went before Lie like leaves upon the floor  Hang all the world and universe When I'm with you they always seem perverse I'm in a state of weightlessness When I inhale your angel breath  O baby O maybe I'm the lost and found
happy_all/One (Always Hardcore).mp3,Scooter,One ,"I am the horseman I'm mentally mad I am a super sharp shooter Sittin' on a roof top My name is MC H, I got the big breaks And the bass One, two, check It's a mixture ruff to the core Through the texture Come and get a taste of the fixture Yeah!  Yeah-ea-ea-ah, yeah-ea, I feel hardcore Yeah-ea-ea-ah, yeah-ea, always hardcore,...  Want a lyrical sex Ice and the platinum tech With a minute in the game When discover my necks You don't fret Me and my crew, we are too HOT For any crew out there or any MC Rippin up the B you want HATE Jealousy won't get you nowhere, I'm HP  Yeah-ea-ea-ah, yeah-ea, I feel hardcore Yeah-ea-ea-ah, yeah-ea, always hardcore,...  All right One world, one people, one music - one MC  Yeah-ea-ea-ah, yeah-ea, I feel hardcore Yeah-ea-ea-ah, yeah-ea, always hardcore"
happy_all/One Thing Is For Sure (Album Version).mp3,The Spill Canvas,One Thing Is For Sure (Album V,"There are things in this world, that I don't understand. Like love, war, gravity, or the lay of the land. But all of these remain mysteries, One thing is for sure You are worth living for.  Sometimes when I'm far away from you, I get a little lost, a little out of my element. I miss the way your body burns, when we melt alone.  There are things in this world, that I don't understand. Like love, war, gravity, or the lay of the land. But all of these remain mysteries, One thing is for sure You are worth living for.  Sometimes when I let my mind run free... It never fails, it goes right to you, And a smile takes a hold of me. I miss the way your body burns, when we melt alone.  There are things in this world, that I don't understand. Like love, war, gravity, or the lay of the land. But all of these remain mysteries, One thing is for sure  You are worth living for.There are things in this world, that I don't understand. Like love, war, gravity, or the lay of the land. But all of these remain mysteries, One thing is for sure You are worth living for."
happy_all/Orange Colored Sky (2000 Digital Remaster).mp3,Nat King Cole,Orange Colored Sky,"I was walking along Mindin' my business When out of the orange colored sky Flash, Bam, Alakazam, Wonderful you came by  I was hummin' a tune Drinkin' in sunshine When out of that orange colored view Wham, Bam, Alakazam, I got a look at you.  One look and I yelled ""timber"" Watch out for flying glass  'Cause the ceiling fell in And the bottom fell out I went in to a spin And I started to shout ""I've been hit, this is it, this is it""  I was walking along Mindin' my business When love came and hit me in the eye Flash, Bam, Alakazam, Out of the orange colored sky  Well, one look and I yelled ""timber"" Watch out for flying glass  'Cause the ceiling fell in And the bottom fell out I went in to a spin And I started to shout ""I've been hit, this is it, this is it, I've been hit""  I was walkin' along Mindin' my business When love came and hit me in the eye Flash, Bam, Alakazam, Out of that orange colored, Purple striped, Pretty green polka-dot sky Flash, Bam, Alakazam... And goodbye"
happy_all/Our Happy Hardcore.mp3,Scooter,Our Happy Hardcore,"Sometimes this is dangerous! Sometimes this is rough! But one thing is true... We never get, we never get enough. You may think we are crazy. You may think we're insane. But one thing is true... The feeling we get, we now there'll be the same core!  Our happy hardcore! Our happy hardcore! Our happy hardcore! Yeah!  Some people say at the dancefloor...  'Cause one thing is true... Today is now, tomorrow is tomorrow Can you see all this people Everyone jumping around! So one thing is true!... It's the music we love, it's the ultimate sound!  Our happy hardcore! Yeah! Our happy hardcore! Our happy hardcore!"
happy_all/Pittsburgh Sound.mp3,Wiz Khalifa,Pittsburgh Sound,"Yeah It's Wiz Khalifa man It's that 412 I got that Pittsburgh Sound  Around these parts I'm known as the youngest in charge My shit bang out the trunk of your car It's the cities known rap spitta Semi blown clack niggas Skin and bones but really known as that nigga I'm known to chase the bucks Grind to get my paper up In the studio writin rhymes till the paper crunch I'm not the type that you would call 'em a thug But I'm a huster it's all in my blood So if it's all for the cheese then I'm in it My screws kinda loose so I ease to the finish I hop up in the coupe feel the breeze while I'm in it Blowin' smoke up out the roof from the trees that I'm spliffin Youngin got the game on lock I'm on top it's a shame y'all not You a lame put your brain on pot Leave you wet like the rain y'all drop I'm gon rock and I ain't gon stop  Who's the kid spittin' flames Changin the game His name, it's Wiz Khalifa man From the home of the greats Where they known for the cake The place, that steel city damn I got that Pittsburgh sound And I'mma always hold Pittsburgh down It's Wiz Khalifa man You can't tell by now Pittsburgh I'mma swell my town That steel city damn  Roll rubber you don't know who you dealin' with Oh so innocent but flows so diligent My spit game's like a 44 killin' shit Know your man warm but the young ball killin' shit Realist shit and your main wife dig me Game try and hit me Kick game like 50 Cent Niggas wanna play games I quickly Mob with a squad that will bang out wit me And they want the kid still hurtin' Hundred niggas wit hammers Yeah, that's what I call a steal curtain I handle my time and still work it Put in work couple mill worth in And I'm from Pittsburgh where the green And the eatin is good And the fiends do everything in the hood Everyday is like a war so my soldiers ride fatigues in the hood And we gettin' all the green like we should... You know, yeah  Who's the kid spittin' flames Changin the game His name, it's Wiz Khalifa man From the home of the greats Where they known for the cake The place, that steel city damn I got that Pittsburgh sound And I'mma always hold Pittsburgh down It's Wiz Khalifa man You can't tell by now Pittsburgh I'mma swell my town That steel city damn  I'm from the home and the place Where they known for the cake Where the money stackin up, Put a chrome to your face You can step outta line, and get thrown into place That's why all my homies say It's whatever whenever Mother fucker I flow so hard and I spit so sick That all of these rap niggas on my tip Like pause it ain't none of that homo shit And that's word to the philly ass spliff Yeah  Who's the kid spittin' flames Changin the game His name, it's Wiz Khalifa man From the home of the greats Where they known for the cake The place, that steel city damn I got that Pittsburgh sound And I'mma always hold Pittsburgh down It's Wiz Khalifa man You can't tell by now Pittsburgh I'mma swell my town That steel city damn"
happy_all/Plasticities.mp3,Andrew Bird,Plasticities,"This isn't your song This isn't your music How can they be wrong When by committee they choose it all? They choose it all  You're gonna grow old You're gonna grow cold Bearing signs on the avenue For your own personal Waterloo You're bearing signs on the avenue For your own personal Waterloo now  We'll fight, we'll fight We'll fight for your music halls and dying cities They'll fight, they'll fight  They'll fight for your neural walls and plasticities And precious territory  This isn't our song This isn't even a musical I think life is too long To be a whale in a cubicle Nails under your cuticle  Gonna grow old You're gonna grow so cold Before this song can deliver you You're bearing signs on the avenue You're bearing signs For your own personal Waterloo now  We'll fight, we'll fight We'll fight for your music halls and dying cities They'll fight, they'll fight  They'll fight for your neural walls and plasticities And precious territory"
happy_all/Popdorian.mp3,Dubstar,Popdorian,"Dorian puts on a smile And he's out tonight Dorian Always forgetting what's out of sight Every other weekend He's around in there Old enough to know that he could die But too young to care  So Dorian puts on a smile And says ""I'm okay"" Dorian felt all right But I couldn't say  Collectively we give our trust so foolishly I never even bothered who was around before me  So Dorian puts on a smile for my sister now There's no hate in me for that But I don't know how  Collectively we give our trust so foolishly I never even bothered who was around before me  Dorian puts on a smile On his old face now Dorian, realizing he's had it now... For good..."
